FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,99599196,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,01/06/2019,1120
Autistica - Work: Self Confidence,120,25718877,Not confident at all,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/06/2019,1121
Autistica - Work: Self Confidence,120,97909632,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,01/06/2019,1122
Autistica - Work: Self Confidence,120,40268226,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,01/06/2019,1123
Autistica - Work: Self Confidence,120,63985686,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,01/06/2019,1124
Autistica - Work: Self Confidence,120,63237915,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,01/06/2019,1125
Autistica - Work: Self Confidence,120,50544037,Completely confident,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1126
Autistica - Work: Self Confidence,120,14286843,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,01/06/2019,1127
Autistica - Work: Self Confidence,120,53175760,Completely confident,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,01/06/2019,1128
Autistica - Work: Self Confidence,120,56361261,Completely confident,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,01/06/2019,1129
Autistica - Work: Self Confidence,120,66411825,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,01/06/2019,1130
Autistica - Work: Self Confidence,120,34060153,Not confident at all,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,01/06/2019,1131
Autistica - Work: Self Confidence,120,11168511,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1132
Autistica - Work: Self Confidence,120,85920205,Not confident at all,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,01/06/2019,1133
Autistica - Work: Self Confidence,120,83766303,Not confident at all,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,01/06/2019,1134
Autistica - Work: Self Confidence,120,64793738,Completely confident,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,01/06/2019,1135
Autistica - Work: Self Confidence,120,59096037,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,01/06/2019,1136
Autistica - Work: Self Confidence,120,77773077,Not confident at all,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,01/06/2019,1137
Autistica - Work: Self Confidence,120,47375033,Completely confident,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,01/06/2019,1138
Autistica - Work: Self Confidence,120,39847852,Not confident at all,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,01/06/2019,1139
Autistica - Work: Self Confidence,120,68971632,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,01/06/2019,1140
Autistica - Work: Self Confidence,120,22090963,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,01/06/2019,1141
Autistica - Work: Self Confidence,120,60377624,Not confident at all,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,01/06/2019,1142
Autistica - Work: Self Confidence,120,30738880,Completely confident,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,01/06/2019,1143
Autistica - Work: Self Confidence,120,86589369,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1144
Autistica - Work: Self Confidence,120,66155821,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,01/06/2019,1145
Autistica - Work: Self Confidence,120,61677296,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,01/06/2019,1146
Autistica - Work: Self Confidence,120,56419454,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,01/06/2019,1147
Autistica - Work: Self Confidence,120,86397034,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,01/06/2019,1148
Autistica - Work: Self Confidence,120,41455969,Completely confident,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,01/06/2019,1149
Autistica - Work: Self Confidence,120,23394144,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,01/06/2019,1150
Autistica - Work: Self Confidence,120,21326904,Completely confident,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,01/06/2019,1151
Autistica - Work: Self Confidence,120,44980497,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,01/06/2019,1152
Autistica - Work: Self Confidence,120,38982647,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,01/06/2019,1153
Autistica - Work: Self Confidence,120,80484260,Not confident at all,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,01/06/2019,1154
Autistica - Work: Self Confidence,120,24052776,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,01/06/2019,1155
Autistica - Work: Self Confidence,120,70538701,Completely confident,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,01/06/2019,1156
Autistica - Work: Self Confidence,120,89804580,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,01/06/2019,1157
Autistica - Work: Self Confidence,120,17191527,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,01/06/2019,1158
Autistica - Work: Self Confidence,120,12248148,Not confident at all,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,01/06/2019,1159
Autistica - Work: Self Confidence,120,14567809,Not confident at all,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,01/06/2019,1160
Autistica - Work: Self Confidence,120,53779464,Not confident at all,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,01/06/2019,1161
Autistica - Work: Self Confidence,120,97777931,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,01/06/2019,1162
Autistica - Work: Self Confidence,120,99713717,Completely confident,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1163
Autistica - Work: Self Confidence,120,93466703,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,01/06/2019,1164
Autistica - Work: Self Confidence,120,37419497,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1165
Autistica - Work: Self Confidence,120,35358065,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,01/06/2019,1166
Autistica - Work: Self Confidence,120,86131995,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,01/06/2019,1167
Autistica - Work: Self Confidence,120,57180656,Not confident at all,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,01/06/2019,1168
Autistica - Work: Self Confidence,120,62929404,Not confident at all,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,01/06/2019,1169
Autistica - Work: Self Confidence,120,30901982,Not confident at all,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,01/06/2019,1170
Autistica - Work: Self Confidence,120,93085379,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,01/06/2019,1171
Autistica - Work: Self Confidence,120,77431644,Not confident at all,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,01/06/2019,1172
Autistica - Work: Self Confidence,120,67013133,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,01/06/2019,1173
Autistica - Work: Self Confidence,120,13838301,Completely confident,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,01/06/2019,1174
Autistica - Work: Self Confidence,120,66718298,Completely confident,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,01/06/2019,1175
Autistica - Work: Self Confidence,120,24641611,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/06/2019,1176
Autistica - Work: Self Confidence,120,67388864,Not confident at all,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1177
Autistica - Work: Self Confidence,120,25055544,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,01/06/2019,1178
Autistica - Work: Self Confidence,120,24503298,Completely confident,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,01/06/2019,1179
Autistica - Work: Self Confidence,120,43928283,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,01/06/2019,1180
Autistica - Work: Self Confidence,120,19630284,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,01/06/2019,1181
Autistica - Work: Self Confidence,120,87042105,Not confident at all,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1182
Autistica - Work: Self Confidence,120,71593024,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,01/06/2019,1183
Autistica - Work: Self Confidence,120,31866214,Not confident at all,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,01/06/2019,1184
Autistica - Work: Self Confidence,120,97162166,Completely confident,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,01/06/2019,1185
Autistica - Work: Self Confidence,120,41273901,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,01/06/2019,1186
Autistica - Work: Self Confidence,120,43440948,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,01/06/2019,1187
Autistica - Work: Self Confidence,120,77705205,Not confident at all,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,01/06/2019,1188
Autistica - Work: Self Confidence,120,58358243,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,01/06/2019,1189
Autistica - Work: Self Confidence,120,47815963,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,01/06/2019,1190
Autistica - Work: Self Confidence,120,69828639,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,01/06/2019,1191
Autistica - Work: Self Confidence,120,38868666,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,01/06/2019,1192
Autistica - Work: Self Confidence,120,72888018,Completely confident,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,01/06/2019,1193
Autistica - Work: Self Confidence,120,43522829,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,01/06/2019,1194
Autistica - Work: Self Confidence,120,41811454,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,01/06/2019,1195
Autistica - Work: Self Confidence,120,40690745,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,01/06/2019,1196
Autistica - Work: Self Confidence,120,25057429,Completely confident,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,01/06/2019,1197
Autistica - Work: Self Confidence,120,39249976,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,01/06/2019,1198
Autistica - Work: Self Confidence,120,63410382,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,01/06/2019,1199
Autistica - Work: Self Confidence,120,61657100,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,01/06/2019,1200
Autistica - Work: Self Confidence,120,22222222,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,14/06/2019,1201
Autistica - Work: Self Confidence,120,11111111,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,14/06/2019,1202
Autistica - Work: Self Confidence,120,12077101,Not confident at all,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,14/06/2019,1203
Autistica - Work: Self Confidence,120,38961843,Completely confident,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,14/06/2019,1204
Autistica - Work: Self Confidence,120,67611589,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,14/06/2019,1205
Autistica - Work: Self Confidence,120,32500162,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,14/06/2019,1206
Autistica - Work: Self Confidence,120,90705766,Completely confident,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,14/06/2019,1207
Autistica - Work: Self Confidence,120,46465154,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,14/06/2019,1208
